graph,algo,seed,s,t,dist,time_dist,search_space
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,6,28,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,6,28,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,4,22,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,4,22,2,3.6716461181640625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,4,22,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,4,22,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,7,1,2,1.5974044799804688e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,7,1,2,3.695487976074219e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,7,1,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,7,1,2,1.9073486328125e-05,3
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,4,15,2,1.71661376953125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,4,15,2,3.695487976074219e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,4,15,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,4,15,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,30,23,2,1.71661376953125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,30,23,2,3.719329833984375e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,30,23,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,30,23,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,20,8,2,1.5974044799804688e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,20,8,2,3.814697265625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,20,8,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,20,8,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,34,14,2,1.5735626220703125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,34,14,2,3.719329833984375e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,34,14,2,2.2649765014648438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,34,14,2,2.4080276489257812e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,11,14,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,11,14,2,3.933906555175781e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,11,14,2,2.0265579223632812e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,11,14,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,29,15,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,29,15,2,3.7670135498046875e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,29,15,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,29,15,2,2.7179718017578125e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,24,16,2,1.5974044799804688e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,24,16,2,3.790855407714844e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,24,16,2,2.2172927856445312e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,24,16,2,2.4080276489257812e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,12,20,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,12,20,2,4.696846008300781e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,12,20,2,1.9073486328125e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,12,20,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,21,19,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,21,19,2,3.695487976074219e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,21,19,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,21,19,2,1.3113021850585938e-05,2
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,30,29,1,9.059906005859375e-06,2
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,30,29,1,1.4066696166992188e-05,5
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,30,29,1,1.0967254638671875e-05,2
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,30,29,1,6.9141387939453125e-06,1
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,15,34,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,15,34,2,3.600120544433594e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,15,34,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,15,34,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,9,26,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,9,26,2,3.7670135498046875e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,9,26,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,9,26,2,2.4080276489257812e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,19,5,2,1.5974044799804688e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,19,5,2,3.6716461181640625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,19,5,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,19,5,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,33,10,2,1.4781951904296875e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,33,10,2,3.719329833984375e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,33,10,2,1.9073486328125e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,33,10,2,2.2172927856445312e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,37,5,2,1.5020370483398438e-05,3
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,37,5,2,3.409385681152344e-05,43
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,37,5,2,1.7881393432617188e-05,3
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,37,5,2,2.3126602172851562e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,15,34,2,1.5735626220703125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,15,34,2,3.790855407714844e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,15,34,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,15,34,2,2.288818359375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,10,9,1,9.059906005859375e-06,2
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,10,9,1,1.3113021850585938e-05,5
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,10,9,1,1.0967254638671875e-05,2
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,10,9,1,8.821487426757812e-06,1
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,12,26,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,12,26,2,3.719329833984375e-05,47
