,graph,algo,seed,s,t,dist,time_dist,search_space
330,08blocks,BiBFS-python,3404785993,11,6,2,1.9788742065429688e-05,4
331,08blocks,BiBFS-python,3404785993,4,14,2,1.8835067749023438e-05,4
332,08blocks,BiBFS-python,3404785993,3,34,2,1.9788742065429688e-05,4
333,08blocks,BiBFS-python,3404785993,11,22,2,1.811981201171875e-05,4
334,08blocks,BiBFS-python,3404785993,35,10,2,1.7881393432617188e-05,4
335,08blocks,BiBFS-python,3404785993,35,34,1,1.1205673217773438e-05,2
336,08blocks,BiBFS-python,3404785993,20,23,2,1.9311904907226562e-05,4
337,08blocks,BiBFS-python,3404785993,33,11,2,1.811981201171875e-05,4
338,08blocks,BiBFS-python,3404785993,18,8,2,1.9073486328125e-05,4
339,08blocks,BiBFS-python,3404785993,13,20,2,1.9073486328125e-05,4
340,08blocks,BiBFS-python,3404785993,25,32,2,1.8835067749023438e-05,4
341,08blocks,BiBFS-python,3404785993,1,11,2,1.7881393432617188e-05,3
342,08blocks,BiBFS-python,3404785993,25,8,2,1.8835067749023438e-05,4
343,08blocks,BiBFS-python,3404785993,0,17,1,2.6941299438476562e-05,17
344,08blocks,BiBFS-python,3404785993,37,31,2,1.7881393432617188e-05,3
345,08blocks,BiBFS-python,3404785993,27,33,2,1.9311904907226562e-05,4
346,08blocks,BiBFS-python,3404785993,31,36,2,1.9073486328125e-05,4
347,08blocks,BiBFS-python,3404785993,2,7,2,1.9073486328125e-05,4
348,08blocks,BiBFS-python,3404785993,21,6,2,1.9311904907226562e-05,4
349,08blocks,BiBFS-python,3404785993,8,25,2,1.8835067749023438e-05,4
350,08blocks,BiBFS-python,3404785993,37,5,2,1.71661376953125e-05,3
351,08blocks,BiBFS-python,3404785993,18,19,1,1.1920928955078125e-05,3
352,08blocks,BiBFS-python,3404785993,30,29,1,1.0967254638671875e-05,2
353,08blocks,BiBFS-python,3404785993,0,35,1,4.696846008300781e-05,35
354,08blocks,BiBFS-python,3404785993,3,4,1,1.621246337890625e-05,3
355,08blocks,BiBFS-python,3404785993,29,18,2,1.9073486328125e-05,4
356,08blocks,BiBFS-python,3404785993,17,37,2,1.9073486328125e-05,4
357,08blocks,BiBFS-python,3404785993,34,9,2,1.9073486328125e-05,4
358,08blocks,BiBFS-python,3404785993,34,27,2,1.9073486328125e-05,4
359,08blocks,BiBFS-python,3404785993,4,12,2,2.0265579223632812e-05,4
360,08blocks,BiBFS-python,3404785993,28,14,2,1.8835067749023438e-05,4
361,08blocks,BiBFS-python,3404785993,12,33,2,1.9073486328125e-05,4
