graph,algo,seed,s,t,dist,time_dist,search_space
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,34,14,2,4.410743713378906e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,11,14,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,11,14,2,3.695487976074219e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,11,14,2,2.193450927734375e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,11,14,2,3.409385681152344e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,29,15,2,1.5974044799804688e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,29,15,2,3.695487976074219e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,29,15,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,29,15,2,3.886222839355469e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,24,16,2,1.5735626220703125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,24,16,2,4.8160552978515625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,24,16,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,24,16,2,3.409385681152344e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,12,20,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,12,20,2,3.886222839355469e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,12,20,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,12,20,2,3.266334533691406e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,21,19,2,1.5974044799804688e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,21,19,2,3.6716461181640625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,21,19,2,1.8358230590820312e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,21,19,2,3.409385681152344e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,30,29,1,9.298324584960938e-06,2
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,30,29,1,1.3828277587890625e-05,5
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,30,29,1,1.0013580322265625e-05,2
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,30,29,1,2.3126602172851562e-05,2
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,15,34,2,2.0265579223632812e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,15,34,2,4.506111145019531e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,15,34,2,2.193450927734375e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,15,34,2,3.695487976074219e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,9,26,2,1.811981201171875e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,9,26,2,3.790855407714844e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,9,26,2,2.002716064453125e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,9,26,2,3.504753112792969e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,19,5,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,19,5,2,3.814697265625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,19,5,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,19,5,2,3.790855407714844e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,33,10,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,33,10,2,3.719329833984375e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,33,10,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,33,10,2,3.409385681152344e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,37,5,2,1.52587890625e-05,3
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,37,5,2,4.291534423828125e-05,43
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,37,5,2,1.6927719116210938e-05,3
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,37,5,2,2.8133392333984375e-05,2
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,15,34,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,15,34,2,3.719329833984375e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,15,34,2,1.811981201171875e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,15,34,2,3.814697265625e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,10,9,1,1.0013580322265625e-05,2
